main_site,other_site,year,convergence_correlation
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,27,1,-0.03514918039910469
1,27,2,0.018041444089491928
1,27,3,-0.012821439317346571
1,27,4,0.0021905858474416864
1,28,1,0.046497837568811456
1,28,2,0.013203389945018176
1,28,3,0.015410424205125367
1,32,1,0.28697357481353525
1,32,2,-0.00671520478228337
1,32,3,0.0008088694655929943
1,33,1,0.008308023427382292
1,33,2,0.025925717350233593
1,37,1,0.05390094338113359
1,42,1,0.2447812184464776
1,42,2,0.0558269492764669
1,42,3,0.022815793383331322
1,42,4,-0.027415435554056306
1,43,1,0.27974734727410394
1,43,2,-0.022606542290198872
1,43,3,0.05104443519138784
1,45,1,0.3905491911988461
1,45,2,-0.013434241417480503
1,45,3,0.045013462422928606
1,45,4,0.010344355140643885
1,46,1,0.49165832920824226
1,46,2,0.08767604799657275
1,46,3,0.018429075852895247
1,46,4,-0.009815518811541857
1,48,1,-0.11426256007255921
1,48,3,-0.0242261089716204
1,49,1,0.3604119342069812
1,49,2,0.055575016318018804
1,52,1,0.2302797263183391
1,52,2,0.0041666594638027545
1,52,3,-0.022583147746997437
1,52,4,0.013196337269154111
1,53,1,0.299742342441931
1,53,2,0.05116898167703732
1,53,3,-0.007122853415949416
1,54,1,0.36769203667453565
1,54,2,0.07838474179522407
1,54,3,0.00520131596798401
1,55,1,0.18628957299088678
1,55,2,0.044013254493609946
1,55,3,0.027798301182414713
1,55,4,0.0041470819568531665
1,57,1,0.1744423722663614
1,57,2,0.0325647157760823
1,57,3,0.034868960484783725
1,57,4,0.015451387631975252
1,60,1,0.12958058239920267
2,4,1,0.061518769333110686
2,4,2,0.13146791819811376
2,5,1,0.02448251294756384
2,5,2,0.17121734834958066
2,6,1,0.09852909337488554
2,6,2,0.20858455372547655
2,9,1,0.1297349234534935
2,9,2,-0.009627246822759224
2,10,1,0.0641861186934874
2,10,2,0.03451537924927079
2,11,1,0.08925528277575129
2,11,2,-0.0928892925346452
2,12,1,0.0802982205831218
2,12,2,0.0009229261509412535
2,13,1,0.08409701737060665
2,13,2,-0.002847820169001037
2,23,1,-0.04725594761763326
2,24,1,0.08448430582453412
2,24,2,0.00774164118088614
2,25,1,0.11785633836171029
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
2,53,1,0.1094162195415226
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,27,1,-0.03514918039910469
1,27,2,0.018041444089491928
1,27,3,-0.012821439317346571
1,27,4,0.0021905858474416864
1,28,1,0.046497837568811456
1,28,2,0.013203389945018176
1,28,3,0.015410424205125367
1,32,1,0.28697357481353525
1,32,2,-0.00671520478228337
1,32,3,0.0008088694655929943
1,33,1,0.008308023427382292
1,33,2,0.025925717350233593
1,37,1,0.05390094338113359
1,42,1,0.2447812184464776
1,42,2,0.0558269492764669
1,42,3,0.022815793383331322
1,42,4,-0.027415435554056306
1,43,1,0.27974734727410394
1,43,2,-0.022606542290198872
1,43,3,0.05104443519138784
1,45,1,0.3905491911988461
1,45,2,-0.013434241417480503
1,45,3,0.045013462422928606
1,45,4,0.010344355140643885
1,46,1,0.49165832920824226
1,46,2,0.08767604799657275
1,46,3,0.018429075852895247
1,46,4,-0.009815518811541857
1,48,1,-0.11426256007255921
1,48,3,-0.0242261089716204
1,49,1,0.3604119342069812
1,49,2,0.055575016318018804
1,52,1,0.2302797263183391
1,52,2,0.0041666594638027545
1,52,3,-0.022583147746997437
1,52,4,0.013196337269154111
1,53,1,0.299742342441931
1,53,2,0.05116898167703732
1,53,3,-0.007122853415949416
1,54,1,0.36769203667453565
1,54,2,0.07838474179522407
1,54,3,0.00520131596798401
1,55,1,0.18628957299088678
1,55,2,0.044013254493609946
1,55,3,0.027798301182414713
1,55,4,0.0041470819568531665
1,57,1,0.1744423722663614
1,57,2,0.0325647157760823
1,57,3,0.034868960484783725
1,57,4,0.015451387631975252
1,60,1,0.12958058239920267
2,4,1,0.061518769333110686
2,4,2,0.13146791819811376
2,5,1,0.02448251294756384
2,5,2,0.17121734834958066
2,6,1,0.09852909337488554
2,6,2,0.20858455372547655
2,9,1,0.1297349234534935
2,9,2,-0.009627246822759224
2,10,1,0.0641861186934874
2,10,2,0.03451537924927079
2,11,1,0.08925528277575129
2,11,2,-0.0928892925346452
2,12,1,0.0802982205831218
2,12,2,0.0009229261509412535
2,13,1,0.08409701737060665
2,13,2,-0.002847820169001037
2,23,1,-0.04725594761763326
2,24,1,0.08448430582453412
2,24,2,0.00774164118088614
2,25,1,0.11785633836171029
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
2,53,1,0.1094162195415226
2,53,2,-0.03465289313795523
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,27,1,-0.03514918039910469
1,27,2,0.018041444089491928
1,27,3,-0.012821439317346571
1,27,4,0.0021905858474416864
1,28,1,0.046497837568811456
1,28,2,0.013203389945018176
1,28,3,0.015410424205125367
1,32,1,0.28697357481353525
1,32,2,-0.00671520478228337
1,32,3,0.0008088694655929943
1,33,1,0.008308023427382292
1,33,2,0.025925717350233593
1,37,1,0.05390094338113359
1,42,1,0.2447812184464776
1,42,2,0.0558269492764669
1,42,3,0.022815793383331322
1,42,4,-0.027415435554056306
1,43,1,0.27974734727410394
1,43,2,-0.022606542290198872
1,43,3,0.05104443519138784
1,45,1,0.3905491911988461
1,45,2,-0.013434241417480503
1,45,3,0.045013462422928606
1,45,4,0.010344355140643885
1,46,1,0.49165832920824226
1,46,2,0.08767604799657275
1,46,3,0.018429075852895247
1,46,4,-0.009815518811541857
1,48,1,-0.11426256007255921
1,48,3,-0.0242261089716204
1,49,1,0.3604119342069812
1,49,2,0.055575016318018804
1,52,1,0.2302797263183391
1,52,2,0.0041666594638027545
1,52,3,-0.022583147746997437
1,52,4,0.013196337269154111
1,53,1,0.299742342441931
1,53,2,0.05116898167703732
1,53,3,-0.007122853415949416
1,54,1,0.36769203667453565
1,54,2,0.07838474179522407
1,54,3,0.00520131596798401
1,55,1,0.18628957299088678
1,55,2,0.044013254493609946
1,55,3,0.027798301182414713
1,55,4,0.0041470819568531665
1,57,1,0.1744423722663614
1,57,2,0.0325647157760823
1,57,3,0.034868960484783725
1,57,4,0.015451387631975252
1,60,1,0.12958058239920267
2,4,1,0.061518769333110686
2,4,2,0.13146791819811376
2,5,1,0.02448251294756384
2,5,2,0.17121734834958066
2,6,1,0.09852909337488554
2,6,2,0.20858455372547655
2,9,1,0.1297349234534935
2,9,2,-0.009627246822759224
2,10,1,0.0641861186934874
2,10,2,0.03451537924927079
2,11,1,0.08925528277575129
2,11,2,-0.0928892925346452
2,12,1,0.0802982205831218
2,12,2,0.0009229261509412535
2,13,1,0.08409701737060665
2,13,2,-0.002847820169001037
2,23,1,-0.04725594761763326
2,24,1,0.08448430582453412
2,24,2,0.00774164118088614
2,25,1,0.11785633836171029
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
2,53,1,0.1094162195415226
2,53,2,-0.03465289313795523
2,54,1,0.03367469890007758
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,27,1,-0.03514918039910469
1,27,2,0.018041444089491928
1,27,3,-0.012821439317346571
1,27,4,0.0021905858474416864
1,28,1,0.046497837568811456
1,28,2,0.013203389945018176
1,28,3,0.015410424205125367
1,32,1,0.28697357481353525
1,32,2,-0.00671520478228337
1,32,3,0.0008088694655929943
1,33,1,0.008308023427382292
1,33,2,0.025925717350233593
1,37,1,0.05390094338113359
1,42,1,0.2447812184464776
1,42,2,0.0558269492764669
1,42,3,0.022815793383331322
1,42,4,-0.027415435554056306
1,43,1,0.27974734727410394
1,43,2,-0.022606542290198872
1,43,3,0.05104443519138784
1,45,1,0.3905491911988461
1,45,2,-0.013434241417480503
1,45,3,0.045013462422928606
1,45,4,0.010344355140643885
1,46,1,0.49165832920824226
1,46,2,0.08767604799657275
1,46,3,0.018429075852895247
1,46,4,-0.009815518811541857
1,48,1,-0.11426256007255921
1,48,3,-0.0242261089716204
1,49,1,0.3604119342069812
1,49,2,0.055575016318018804
1,52,1,0.2302797263183391
1,52,2,0.0041666594638027545
1,52,3,-0.022583147746997437
1,52,4,0.013196337269154111
1,53,1,0.299742342441931
1,53,2,0.05116898167703732
1,53,3,-0.007122853415949416
1,54,1,0.36769203667453565
1,54,2,0.07838474179522407
1,54,3,0.00520131596798401
1,55,1,0.18628957299088678
1,55,2,0.044013254493609946
1,55,3,0.027798301182414713
1,55,4,0.0041470819568531665
1,57,1,0.1744423722663614
1,57,2,0.0325647157760823
1,57,3,0.034868960484783725
1,57,4,0.015451387631975252
1,60,1,0.12958058239920267
2,4,1,0.061518769333110686
2,4,2,0.13146791819811376
2,5,1,0.02448251294756384
2,5,2,0.17121734834958066
2,6,1,0.09852909337488554
2,6,2,0.20858455372547655
2,9,1,0.1297349234534935
2,9,2,-0.009627246822759224
2,10,1,0.0641861186934874
2,10,2,0.03451537924927079
2,11,1,0.08925528277575129
2,11,2,-0.0928892925346452
2,12,1,0.0802982205831218
2,12,2,0.0009229261509412535
2,13,1,0.08409701737060665
2,13,2,-0.002847820169001037
2,23,1,-0.04725594761763326
2,24,1,0.08448430582453412
2,24,2,0.00774164118088614
2,25,1,0.11785633836171029
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
2,53,1,0.1094162195415226
2,53,2,-0.03465289313795523
2,54,1,0.03367469890007758
2,54,2,-0.04784139405567131
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,27,1,-0.03514918039910469
1,27,2,0.018041444089491928
1,27,3,-0.012821439317346571
1,27,4,0.0021905858474416864
1,28,1,0.046497837568811456
1,28,2,0.013203389945018176
1,28,3,0.015410424205125367
1,32,1,0.28697357481353525
1,32,2,-0.00671520478228337
1,32,3,0.0008088694655929943
1,33,1,0.008308023427382292
1,33,2,0.025925717350233593
1,37,1,0.05390094338113359
1,42,1,0.2447812184464776
1,42,2,0.0558269492764669
1,42,3,0.022815793383331322
1,42,4,-0.027415435554056306
1,43,1,0.27974734727410394
1,43,2,-0.022606542290198872
1,43,3,0.05104443519138784
1,45,1,0.3905491911988461
1,45,2,-0.013434241417480503
1,45,3,0.045013462422928606
1,45,4,0.010344355140643885
1,46,1,0.49165832920824226
1,46,2,0.08767604799657275
1,46,3,0.018429075852895247
1,46,4,-0.009815518811541857
1,48,1,-0.11426256007255921
1,48,3,-0.0242261089716204
1,49,1,0.3604119342069812
1,49,2,0.055575016318018804
1,52,1,0.2302797263183391
1,52,2,0.0041666594638027545
1,52,3,-0.022583147746997437
1,52,4,0.013196337269154111
1,53,1,0.299742342441931
1,53,2,0.05116898167703732
1,53,3,-0.007122853415949416
1,54,1,0.36769203667453565
1,54,2,0.07838474179522407
1,54,3,0.00520131596798401
1,55,1,0.18628957299088678
1,55,2,0.044013254493609946
1,55,3,0.027798301182414713
1,55,4,0.0041470819568531665
1,57,1,0.1744423722663614
1,57,2,0.0325647157760823
1,57,3,0.034868960484783725
1,57,4,0.015451387631975252
1,60,1,0.12958058239920267
2,4,1,0.061518769333110686
2,4,2,0.13146791819811376
2,5,1,0.02448251294756384
2,5,2,0.17121734834958066
2,6,1,0.09852909337488554
2,6,2,0.20858455372547655
2,9,1,0.1297349234534935
2,9,2,-0.009627246822759224
2,10,1,0.0641861186934874
2,10,2,0.03451537924927079
2,11,1,0.08925528277575129
2,11,2,-0.0928892925346452
2,12,1,0.0802982205831218
2,12,2,0.0009229261509412535
2,13,1,0.08409701737060665
2,13,2,-0.002847820169001037
2,23,1,-0.04725594761763326
2,24,1,0.08448430582453412
2,24,2,0.00774164118088614
2,25,1,0.11785633836171029
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
2,53,1,0.1094162195415226
2,53,2,-0.03465289313795523
2,54,1,0.03367469890007758
2,54,2,-0.04784139405567131
2,55,1,0.07756965917947042
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
